Betweeness runtime: 16.029
BC results:
Node # 	| Betweenness
8823 	| 0.0345782
9194 	| 0.00386561
6635 	| 0.0134515
9216 	| 0
19019 	| 0
22507 	| 0
5519 	| 0.029309
5730 	| 0
11047 	| 0.0163462
15252 	| 0
21289 	| 0
26167 	| 0
25112 	| 0
13389 	| 0
6185 	| 0
23224 	| 0.0134366
24412 	| 0.0657981
5363 	| 0.0081741
253 	| 0
4634 	| 0
17122 	| 0
21051 	| 0.0326728
2259 	| 0
10317 	| 1.96682e-006
11816 	| 0
6448 	| 0
1346 	| 0
2136 	| 0
9591 	| 9.30961e-005
17453 	| 1.21287e-005
309 	| 1.54067e-005
2186 	| 0
6012 	| 0
10677 	| 0
11030 	| 0
13704 	| 0
17015 	| 3.08135e-005
23946 	| 0
25611 	| 0
1050 	| 0
17120 	| 0
9595 	| 0
6744 	| 0
1125 	| 0
8055 	| 0
8526 	| 0.00408607
9486 	| 0
11537 	| 0.0653161
12453 	| 0.112598
18880 	| 0
18909 	| 0
19962 	| 0
23476 	| 0.00408607
19078 	| 0.0013242
20427 	| 0.00300742
8520 	| 0
16177 	| 0.0017891
21100 	| 0.00867734
21156 	| 0.00024186
9125 	| 0
15943 	| 0
15626 	| 0
1154 	| 0
12017 	| 0
12930 	| 7.86727e-006
8704 	| 0
17591 	| 0
12161 	| 0
19162 	| 0
1093 	| 0
3059 	| 0
9649 	| 0.000530707
10251 	| 0.000432742
25903 	| 0
4143 	| 0.0011751
6808 	| 0
7802 	| 0
17127 	| 0
20554 	| 0
21777 	| 0
22108 	| 2.95023e-006
23555 	| 0
25718 	| 0
4247 	| 0
4250 	| 0
8726 	| 0
9491 	| 0.000974956
11379 	| 0.0106502
11405 	| 0
15196 	| 0
15938 	| 0.000374702
17126 	| 0
17764 	| 0.0026333
232 	| 0
1075 	| 0
8737 	| 0
13481 	| 0
13862 	| 0
16742 	| 0
24402 	| 0.0163443
128 	| 0.0019383
4353 	| 0.0136167
6558 	| 0
6920 	| 0
14865 	| 0
15941 	| 0.0326728
16877 	| 0
10000 	| 0
17337 	| 0.00625342
21634 	| 0
851 	| 0.0374685
2713 	| 0
13199 	| 0.0252288
16837 	| 0
18032 	| 0
19568 	| 0.00134344
20004 	| 0
1341 	| 0.0124159
1408 	| 0
4273 	| 0
5259 	| 0.00218232
7355 	| 0.00461514
9143 	| 0.00651108
14357 	| 0.000125592
16332 	| 0
19940 	| 0
853 	| 0.00798845
8441 	| 0
16070 	| 0
16087 	| 0
17231 	| 0
19434 	| 0
23944 	| 0
24499 	| 0
10062 	| 0.0162249
23681 	| 0.0054697
23727 	| 0
2169 	| 0.0207552
5938 	| 0
16084 	| 0
18724 	| 0
18739 	| 0.00713701
19581 	| 0
20954 	| 0
23991 	| 0
6629 	| 0
8786 	| 0.018029
14078 	| 0.00427804
22088 	| 0
22224 	| 0.0326826
4641 	| 0
17937 	| 0
21660 	| 0
12056 	| 0
2761 	| 0.011593
14647 	| 0
4269 	| 0
26159 	| 0
3066 	| 0.023925
5434 	| 0.000128766
7991 	| 0
8116 	| 0.191653
11609 	| 0.0212089
15384 	| 0
16946 	| 0
17612 	| 0.0793248
15528 	| 0.0163443
163 	| 0
3825 	| 0
20893 	| 0
10910 	| 0
25777 	| 0.0211095
14771 	| 0
24127 	| 0
2143 	| 0
12118 	| 0.00744458
15329 	| 0
25116 	| 0
12689 	| 0
17560 	| 0
21697 	| 0
17599 	| 0
19442 	| 0.00699834
12419 	| 0.00408607
3507 	| 0.00408607
11626 	| 0
19313 	| 0.0081741
21755 	| 0
19356 	| 0
23465 	| 0
598 	| 0
5255 	| 0
8864 	| 0
16131 	| 0
16235 	| 0
16280 	| 0
17137 	| 0
23810 	| 0
1728 	| 0
5656 	| 0
6082 	| 0
18488 	| 0
22610 	| 0
6390 	| 0
5731 	| 0
6280 	| 0.0264657
1499 	| 0
20261 	| 0
24002 	| 0
23653 	| 0
5225 	| 0.0734784
3849 	| 0.0163462
7010 	| 0.0081741
7506 	| 0.00408607
9312 	| 0.00408607
20781 	| 0
8728 	| 0
11227 	| 0.00438002
5862 	| 0.0176428
7959 	| 0
17569 	| 0
18973 	| 0
19207 	| 0
19580 	| 0.0081741
3988 	| 0
16348 	| 0
4017 	| 0
7888 	| 0
17291 	| 0
1008 	| 0
2185 	| 0
8369 	| 0
11824 	| 0
12066 	| 0
16888 	| 0
20808 	| 0
21815 	| 0
1985 	| 0.0081741
9763 	| 0.00552859
21657 	| 0
16225 	| 0
21404 	| 0.0245105
26058 	| 0.0245105
9893 	| 0
20526 	| 0.0081741
5202 	| 0.0163443
17800 	| 0.0497986
21995 	| 0
3188 	| 0
3136 	| 0.0081741
9248 	| 0.0143891
11108 	| 0
13966 	| 0.0643085
4189 	| 0.0081741
16234 	| 0
17251 	| 0
18373 	| 0.0163443
20557 	| 0
19871 	| 0
25526 	| 0
23786 	| 0
25534 	| 0
11631 	| 0
11861 	| 0.100128
18580 	| 0
18623 	| 0
20217 	| 0
25436 	| 0
21588 	| 0
17797 	| 0
1667 	| 0.0164787
4258 	| 1.96682e-006
5608 	| 0
5771 	| 0
6675 	| 0.0163482
7386 	| 0
16264 	| 0
17401 	| 0
18741 	| 0
19895 	| 0.0460084
20315 	| 0.0252649
23741 	| 0.0163212
25107 	| 0.0163462
25439 	| 0
16281 	| 0
24728 	| 0
2762 	| 0
22378 	| 0
9986 	| 0
11719 	| 0
4467 	| 0
21658 	| 0
23490 	| 0.0081741
1669 	| 0
12703 	| 1.96682e-006
5260 	| 0
6810 	| 0
13636 	| 0
16696 	| 0
17739 	| 0
19605 	| 0
5838 	| 0.00195273
11572 	| 0.000191287
21630 	| 0
6073 	| 0
9391 	| 0
2059 	| 0
11746 	| 0.0361004
21800 	| 0
22372 	| 0
6465 	| 0.00194259
11563 	| 0
15891 	| 0.00194259
17385 	| 0.0560452
1599 	| 0
5812 	| 0.00482462
17248 	| 0.0185936
20618 	| 0.0081741
20853 	| 0
9392 	| 0
24252 	| 0
13422 	| 0.0815974
16349 	| 0
11939 	| 0.0189771
17191 	| 0
1350 	| 0
1023 	| 0.0852344
1675 	| 0
2512 	| 0
3058 	| 0
11815 	| 0
20924 	| 0.0435796
23420 	| 0
19464 	| 0
23968 	| 0
9597 	| 0
11820 	| 0
17019 	| 0
17121 	| 0
7811 	| 0.00265739
22269 	| 0.0477085
25272 	| 0
1787 	| 0.0163443
1279 	| 0
14550 	| 0
15258 	| 0.000314209
7071 	| 0
8195 	| 0.0163443
15951 	| 0.0163443
400 	| 0
4379 	| 0.000446781
6541 	| 0
6905 	| 0
8216 	| 0
14498 	| 0
17502 	| 0
17740 	| 0
5408 	| 0
19609 	| 0
11066 	| 0.0105115
2340 	| 0
2443 	| 0.0336572
6918 	| 0
7650 	| 0.315875
8184 	| 0
8625 	| 0.000830711
14369 	| 0.00299565
15395 	| 0.0498513
17583 	| 0
25977 	| 0
18684 	| 0.0081741
19501 	| 0.00153075
20942 	| 0
17724 	| 1.18009e-005
25957 	| 3.54027e-005
25958 	| 0
8263 	| 1.18009e-005
12046 	| 0
19126 	| 1.18009e-005
2182 	| 0.00535819
3553 	| 0
15571 	| 0.00498315
10918 	| 0.000655446
20253 	| 0
15388 	| 0
15387 	| 0
3955 	| 0
10532 	| 0.0275331
7524 	| 0
8721 	| 0.00453755
15005 	| 0.00453755
15372 	| 0.0194841
16022 	| 0.00453755
18685 	| 0
22083 	| 0
22105 	| 0.00207315
11522 	| 1.96682e-006
8857 	| 0.0040841
12235 	| 0.0204225
22129 	| 0
25387 	| 0
2826 	| 0.0489856
23216 	| 0
8530 	| 7.86727e-006
10906 	| 1.18009e-005
21144 	| 0
1073 	| 0.0163462
18399 	| 0
14149 	| 4.72036e-005
3750 	| 0
8147 	| 0
11616 	| 0
14662 	| 0
16648 	| 0
19560 	| 0
22199 	| 0
23530 	| 0
4289 	| 0
9135 	| 0
12160 	| 0
19809 	| 0
4027 	| 0
7450 	| 0
836 	| 0
16747 	| 0.0163443
18193 	| 0.0176361
9095 	| 0
12043 	| 0
18742 	| 0
22890 	| 0.0081741
26044 	| 0
8876 	| 0.00817754
10990 	| 0
4255 	| 0
4771 	| 0.00200526
5251 	| 0.00200526
18256 	| 0.0142262
18337 	| 0.0142262
20236 	| 0.0081741
11279 	| 0
9832 	| 0
17750 	| 9.83409e-006
22976 	| 0
25609 	| 0
124 	| 0
14319 	| 0
15663 	| 0
16937 	| 0
18052 	| 0
20258 	| 0
9151 	| 0
25856 	| 0
2047 	| 0
3632 	| 0
15383 	| 0
24385 	| 0.00952514
3716 	| 0.059345
8391 	| 4.02443e-005
14497 	| 0
24101 	| 0.000826415
2388 	| 0
16955 	| 0
12981 	| 0
19642 	| 0
7592 	| 0.0081741
8179 	| 0
7579 	| 0
21653 	| 0.00378662
5542 	| 0
4080 	| 0.00129223
14747 	| 0
17463 	| 0
19324 	| 0.00129223
20567 	| 0.0872113
21550 	| 0
24220 	| 0
25179 	| 0
25553 	| 0
25554 	| 0
11468 	| 0
11470 	| 0
17804 	| 9.83409e-007
17294 	| 0
2309 	| 0
6532 	| 0
8553 	| 0
4633 	| 0
11593 	| 0
16818 	| 0
23648 	| 0
939 	| 0
1834 	| 0
5056 	| 0
13664 	| 0.0163443
14037 	| 0
16940 	| 0
19613 	| 0
16335 	| 0
6913 	| 0
3594 	| 0
10024 	| 0.000174959
23713 	| 0
10376 	| 0.00113641
15325 	| 4.34935e-006
20344 	| 0
2001 	| 0
3633 	| 0
23064 	| 0
5083 	| 0
5084 	| 0
8711 	| 0
12712 	| 0.0081741
14324 	| 0.0081741
21409 	| 0.000404648
17124 	| 0.000433372
25719 	| 0
8261 	| 0.00132644
11464 	| 0.000542447
17997 	| 0.000542447
20662 	| 0
22837 	| 0
2316 	| 0.0081741
11929 	| 0
350 	| 0
951 	| 0
25676 	| 0
2532 	| 0
14067 	| 0.0320973
20086 	| 0.0081741
21772 	| 0
15715 	| 0
925 	| 0
8615 	| 0
6506 	| 0.0185993
9037 	| 0.0559781
13483 	| 0
14711 	| 0
23623 	| 0
23686 	| 0
864 	| 0
1311 	| 0
3983 	| 0
26013 	| 0.00740197
17882 	| 0
18379 	| 0
18217 	| 0.00293406
26173 	| 0
21297 	| 0.0081741
18447 	| 0
21165 	| 0
4988 	| 0
17125 	| 0
9913 	| 0.002303
22382 	| 0
17884 	| 0
20538 	| 0
24032 	| 0
2009 	| 0.000857317
7309 	| 0
8156 	| 0
8403 	| 0.000428167
16011 	| 0
22929 	| 0
22993 	| 0
8732 	| 0
10022 	| 0.0408311
14932 	| 0.00125363
16659 	| 0
22377 	| 0
22806 	| 0.00817705
14809 	| 0
22953 	| 0
23950 	| 0
18489 	| 0
95 	| 0.0081741
15524 	| 0
3291 	| 0.000164377
12696 	| 0
14869 	| 0
6190 	| 0
10656 	| 0
11002 	| 0
11403 	| 0
20106 	| 0
24060 	| 0.000577342
25610 	| 0
22693 	| 0
23920 	| 0
4458 	| 0.00232748
5547 	| 0
5659 	| 0
7883 	| 0
8387 	| 0
12313 	| 0
15160 	| 0
19325 	| 0
21205 	| 0
22831 	| 0
1556 	| 5.90046e-006
11965 	| 0
14096 	| 0
23154 	| 0
15191 	| 0
5212 	| 0
6628 	| 0
19015 	| 0
19444 	| 0
25139 	| 0
9441 	| 0
10388 	| 0.0081741
8222 	| 0.00290584
21495 	| 0.00997194
6807 	| 0
2075 	| 0
3873 	| 0
4182 	| 0
10439 	| 0
14619 	| 0
2044 	| 0
4490 	| 0
17001 	| 0.00386034
18013 	| 0.00386034
9147 	| 0
24398 	| 0.00961356
5216 	| 9.75617e-005
17290 	| 0
20155 	| 0
1045 	| 0
6265 	| 0
5402 	| 0
15947 	| 0
2203 	| 0
7594 	| 0
21130 	| 0.0245144
21615 	| 0
2622 	| 0
4960 	| 0
16270 	| 0.00407851
16102 	| 0
17956 	| 0.00167303
20375 	| 0
22463 	| 0
3878 	| 0
16584 	| 4.61312e-005
2997 	| 0.00408607
6888 	| 0.00408607
11664 	| 0
4712 	| 0
11017 	| 0
7632 	| 0
14170 	| 0
20414 	| 3.93364e-006
11427 	| 0
5240 	| 0.0752057
9074 	| 0.0163443
12425 	| 0.0326728
18275 	| 0
20636 	| 0
4640 	| 0
19248 	| 0
11109 	| 0
21562 	| 0
21149 	| 9.83409e-007
312 	| 0
16545 	| 0
12786 	| 0.00891706
13673 	| 0.0334276
7958 	| 0
25130 	| 3.93364e-006
14543 	| 0
21221 	| 0
9266 	| 0
2750 	| 0
20668 	| 0
3068 	| 0
5631 	| 0
16067 	| 0
19569 	| 0
2917 	| 0
6031 	| 0
2010 	| 0
8064 	| 0
20599 	| 0
179 	| 0
547 	| 0
1829 	| 1.96682e-006
1982 	| 0
3178 	| 0.00163217
4989 	| 0
18870 	| 0
20062 	| 0.00229722
22464 	| 0
6878 	| 0.0245144
11528 	| 0.0081741
22244 	| 0
11812 	| 0
24248 	| 0
8122 	| 0.0185029
9769 	| 0
15253 	| 0
16647 	| 0.0356485
22489 	| 0
23412 	| 0
25443 	| 0
8511 	| 0.0212601
22503 	| 0
13604 	| 0
4704 	| 0
8801 	| 1.96682e-006
12695 	| 0
15125 	| 0.0004041
15420 	| 0
25204 	| 0
385 	| 0.00196077
1323 	| 0
1606 	| 0.00115102
7072 	| 0
9890 	| 0
12849 	| 0
14377 	| 0
17981 	| 0
18234 	| 0
21220 	| 0.0675923
22225 	| 0
23506 	| 0.0493914
23620 	| 0.0031795
24332 	| 0
376 	| 0
2611 	| 4.91705e-006
16620 	| 1.96682e-006
1908 	| 8.85068e-006
16621 	| 0
12106 	| 0
1267 	| 0
1511 	| 0.0081741
15793 	| 0.0290096
18102 	| 0
20772 	| 0
23248 	| 0
26193 	| 0.00765407
10872 	| 0
2666 	| 0
24250 	| 0
9630 	| 0
10252 	| 0
16820 	| 0
22830 	| 0.0081741
14159 	| 0
5144 	| 0
24852 	| 3.93364e-006
8869 	| 0
299 	| 0.0145365
14174 	| 0
18746 	| 0
22051 	| 0.00662434
22075 	| 0
24713 	| 0.046077
14616 	| 0
17817 	| 0.0190394
2356 	| 0
6337 	| 0.0317266
17419 	| 0.084802
18105 	| 0
2773 	| 0
5661 	| 0
6529 	| 0
6543 	| 0
16486 	| 0
8523 	| 0.000890161
19964 	| 5.90046e-006
2342 	| 0
2516 	| 0
21998 	| 0.0081741
941 	| 0.00813697
13712 	| 0
16727 	| 0
22321 	| 0
23383 	| 0
25442 	| 0.0405631
19980 	| 0
5957 	| 2.36018e-005
7716 	| 0
11233 	| 0
14090 	| 0
18397 	| 0
25541 	| 0
2249 	| 0
6077 	| 0
6611 	| 0
8672 	| 0
19955 	| 0
21832 	| 0
3316 	| 0.0081741
9759 	| 0
11865 	| 0
3199 	| 0
19507 	| 1.96682e-006
12798 	| 0
855 	| 0
4261 	| 0
7772 	| 0
23299 	| 0
8871 	| 0
17090 	| 0
3772 	| 0
4104 	| 0
4431 	| 0
4967 	| 0
11152 	| 0
15616 	| 0
16262 	| 0
18995 	| 0
19562 	| 0.0124177
22087 	| 0
22109 	| 0
22839 	| 0
23683 	| 0
24477 	| 0.0124177
25304 	| 0.012045
14854 	| 0.0081741
24489 	| 0.0417025
6835 	| 0
24219 	| 0.00167364
3321 	| 0
1151 	| 0
2410 	| 0
3843 	| 0.0248792
6301 	| 0
10247 	| 0
15414 	| 0
18743 	| 0
22032 	| 0
22903 	| 0.00270945
23674 	| 0
24294 	| 0
24706 	| 0
25998 	| 0.00270945
2124 	| 0
3293 	| 0
5825 	| 0.0185145
628 	| 0
9413 	| 0.00112795
13641 	| 0
1962 	| 0.00717968
1613 	| 0
13992 	| 0
15217 	| 0
15665 	| 0
16154 	| 0.0326807
21159 	| 0
915 	| 0
10438 	| 0
18624 	| 0
20558 	| 0
10026 	| 0
15316 	| 0.000703026
17249 	| 0
18066 	| 0
12787 	| 0
21621 	| 0.00551989
24877 	| 0.0276625
93 	| 0.00959123
17343 	| 0
20328 	| 0.0463492
9103 	| 0
10684 	| 0
11878 	| 0
18557 	| 0.0081741
21101 	| 0
19909 	| 0
23474 	| 0
7093 	| 0
8000 	| 0
17395 	| 0
18582 	| 0
22375 	| 9.83409e-007
23419 	| 0
2593 	| 0
10433 	| 0
3231 	| 3.93364e-006
4705 	| 0
4773 	| 3.93364e-006
6411 	| 3.93364e-006
8549 	| 0
10500 	| 0
16352 	| 3.93364e-006
17546 	| 0
19808 	| 0
21931 	| 0
22369 	| 0
22466 	| 0
25159 	| 0
22815 	| 0.00685932
29 	| 0
16751 	| 0
750 	| 0
19641 	| 0
23480 	| 0
23652 	| 0
1278 	| 0.0314692
778 	| 0
1048 	| 0
16743 	| 0
22235 	| 0
4376 	| 0.00472495
18246 	| 0
3718 	| 0
7511 	| 0
6642 	| 0
17277 	| 0
18209 	| 0
7247 	| 0
9459 	| 0
11829 	| 0
10338 	| 1.11453e-005
7523 	| 0
12458 	| 1.31121e-006
12460 	| 0
14844 	| 0
16651 	| 0
19378 	| 1.31121e-006
161 	| 9.83409e-006
97 	| 0
3105 	| 0
11418 	| 0
19583 	| 0
21821 	| 0
22719 	| 6.88386e-006
21684 	| 9.83409e-007
22720 	| 0
24169 	| 0
16872 	| 0.0081741
24816 	| 0
9871 	| 0
17179 	| 0
19996 	| 0
380 	| 0
20078 	| 0
5061 	| 0
20317 	| 0
12411 	| 0.00357912
8922 	| 0
9488 	| 0
17182 	| 0
22894 	| 0
10041 	| 3.93364e-007
13995 	| 0
10383 	| 0
13319 	| 0
16115 	| 0.000408221
21583 	| 0.00336199
25229 	| 0
2074 	| 0
10996 	| 0.0144707
19080 	| 0.000198607
751 	| 0
2655 	| 0
20008 	| 0
25866 	| 0
2087 	| 3.69382e-005
2993 	| 0
4377 	| 0
6271 	| 0.00840952
7023 	| 0.0102677
13404 	| 0.0582811
1563 	| 8.74142e-007
2457 	| 8.74142e-007
3534 	| 8.74142e-007
4639 	| 0
5065 	| 8.74142e-007
6387 	| 8.74142e-007
14379 	| 8.74142e-007
15145 	| 0
15562 	| 8.74142e-007
15708 	| 8.74142e-007
15714 	| 8.74142e-007
15805 	| 8.74142e-007
17345 	| 0
17580 	| 8.74142e-007
17584 	| 0
18396 	| 0.00130777
18952 	| 8.74142e-007
19677 	| 8.74142e-007
20231 	| 0
23241 	| 0
24616 	| 0
24617 	| 0
24819 	| 8.74142e-007
1157 	| 0
16334 	| 0
9922 	| 0
2504 	| 0
19585 	| 0
9987 	| 0
21554 	| 0
19598 	| 1.96682e-006
11216 	| 0
13815 	| 0
7463 	| 0.033007
12318 	| 0.0081741
15150 	| 0
19800 	| 0.0163462
7695 	| 0
3827 	| 0
8595 	| 0
14691 	| 0
7025 	| 0
25540 	| 0.040839
3239 	| 0
11465 	| 0
11577 	| 0
6666 	| 0.0326787
17986 	| 0
21190 	| 0.0081741
9217 	| 0
2596 	| 0
23462 	| 0
23464 	| 0
25644 	| 0
3452 	| 0
6442 	| 0.0110085
9968 	| 0
14383 	| 0
14652 	| 0
17681 	| 0.0240696
20587 	| 6.21873e-005
21592 	| 0
2144 	| 0
2774 	| 0
3055 	| 0
3652 	| 0
3655 	| 0
3766 	| 0
3814 	| 0
6388 	| 0
7096 	| 0
9249 	| 0
12051 	| 0
12423 	| 0
12885 	| 0
14808 	| 0
15173 	| 0
15189 	| 0
15999 	| 0
18942 	| 0
19705 	| 0
20250 	| 0
21030 	| 0
21825 	| 0
25108 	| 0
13684 	| 0
18283 	| 0
19301 	| 0
21814 	| 0
1404 	| 0
2562 	| 0
11199 	| 0
18552 	| 0
17141 	| 0
11462 	| 0
11612 	| 0
24944 	| 0
5814 	| 0
17690 	| 0
1656 	| 9.83409e-006
4040 	| 0
5828 	| 0
11842 	| 0
21531 	| 0
1992 	| 0
3102 	| 0
12414 	| 1.96682e-006
18562 	| 0
24439 	| 2.6552e-005
14431 	| 0
20537 	| 0
20543 	| 9.83409e-007
21339 	| 0
1092 	| 1.96682e-006
3196 	| 0
23226 	| 0
4033 	| 0
20782 	| 0
23730 	| 0
4625 	| 0
12296 	| 0
20959 	| 0
3119 	| 0
19004 	| 0
7103 	| 0
2503 	| 0.0163443
5465 	| 0
18141 	| 0
20663 	| 0
7384 	| 0
6944 	| 0
12660 	| 0
14372 	| 0
26178 	| 0
7024 	| 0
17393 	| 0
17827 	| 0
24207 	| 2.62242e-006
1281 	| 0
3653 	| 0
10163 	| 0
12551 	| 2.62242e-006
17588 	| 0
18621 	| 2.62242e-006
25287 	| 0
9962 	| 3.93364e-006
2506 	| 0
10682 	| 0
22428 	| 0
6354 	| 0
15188 	| 0
19060 	| 0
10004 	| 0.0265468
25234 	| 0
18314 	| 0.0288407
3684 	| 0
5395 	| 0
5445 	| 0
11141 	| 0.00283552
18370 	| 0.00620256
19447 	| 0
20434 	| 0
4263 	| 0
6859 	| 0
17999 	| 0.000157199
18282 	| 0
9959 	| 0
6008 	| 0
20914 	| 0
5081 	| 0
12256 	| 1.96682e-006
17237 	| 0
8877 	| 0
3280 	| 0
13191 	| 0
13013 	| 0
18899 	| 0.0213989
21293 	| 0.0081741
1107 	| 0
6973 	| 0
2950 	| 0
9335 	| 0
25235 	| 0
25668 	| 0
6455 	| 0
19801 	| 0
65 	| 0.0141326
358 	| 0
8504 	| 0
21152 	| 0
19379 	| 0
19247 	| 0
18586 	| 0
27 	| 0
11114 	| 0
19081 	| 0
24726 	| 0
12320 	| 0
12321 	| 0
19222 	| 0
18344 	| 0
3292 	| 0
10391 	| 0
1857 	| 0
3967 	| 0
12053 	| 0.0163443
880 	| 2.95023e-006
252 	| 0
15418 	| 0
4019 	| 0
5626 	| 0
24957 	| 0
4148 	| 0
9863 	| 0
8457 	| 0
15478 	| 0
24203 	| 0
8557 	| 5.90046e-006
8308 	| 0
21288 	| 0
26191 	| 0
3516 	| 0.0245144
7053 	| 0
12618 	| 0
13144 	| 0.0163246
15413 	| 0.0326689
18634 	| 0
1378 	| 0
7877 	| 9.83409e-006
3852 	| 0
11622 	| 0
15422 	| 0
2984 	| 0
8731 	| 0
10564 	| 7.86727e-006
8970 	| 0
15187 	| 0
3850 	| 0
9128 	| 0
113 	| 0.0081741
4103 	| 0
12312 	| 0
17994 	| 0
20947 	| 0.00445674
26021 	| 0
3204 	| 0.00162891
25937 	| 0.00162891
2476 	| 0
18984 	| 0
187 	| 0
1821 	| 0
21386 	| 0
866 	| 0
17825 	| 0
20173 	| 0
6305 	| 0
7726 	| 0
14870 	| 0
14872 	| 0.0168814
20316 	| 0
1493 	| 0.00908098
2452 	| 0
3811 	| 0.00908098
9027 	| 0
14153 	| 0
1436 	| 0.000154577
20064 	| 0
20331 	| 0
13864 	| 0
21154 	| 0
10133 	| 0
18218 	| 0
3067 	| 0
18721 	| 0
1293 	| 0
2621 	| 0
2623 	| 0
3283 	| 0
3812 	| 0
3820 	| 0
3824 	| 0
4834 	| 0.0163443
5131 	| 0
6222 	| 0
6456 	| 0
6525 	| 0
6868 	| 0
7525 	| 0
8448 	| 0
9433 	| 0
12802 	| 0
13482 	| 0
13526 	| 0
14157 	| 0.0245105
14373 	| 0
15148 	| 0
17600 	| 0
17819 	| 0
17823 	| 0
17824 	| 0
18000 	| 0
18444 	| 0
22324 	| 0
22901 	| 0
24474 	| 0
24479 	| 0
24615 	| 0
26039 	| 0
844 	| 0
890 	| 0
11197 	| 0
13035 	| 0
16110 	| 0
26130 	| 0
1916 	| 0
20953 	| 0
24463 	| 0
15706 	| 1.96682e-006
374 	| 0
20776 	| 0
25449 	| 0
24341 	| 0
23135 	| 0
17818 	| 0
19697 	| 0.0136754
23219 	| 0
23809 	| 0.000212563
11583 	| 0
19252 	| 0
3195 	| 0
24597 	| 0
17280 	| 5.90046e-006
2785 	| 0
3682 	| 0
19956 	| 0
2879 	| 0
7861 	| 1.96682e-006
2355 	| 0
12704 	| 0
17297 	| 0.0081741
16227 	| 0
25219 	| 0
25089 	| 0.0163443
820 	| 0.0081741
2515 	| 0
194 	| 0
8628 	| 0
4425 	| 0.0245144
7278 	| 0
14559 	| 0
2459 	| 0
6380 	| 0
1025 	| 0
1026 	| 0
1696 	| 0
15197 	| 0
18195 	| 0
13832 	| 0
17114 	| 0
20489 	| 0
7088 	| 0
7546 	| 0.0163462
8146 	| 0
21028 	| 0
23418 	| 0
10897 	| 0
5548 	| 0
15898 	| 0.0081741
11924 	| 0
25437 	| 0
6159 	| 0
19554 	| 0
24878 	| 0
5577 	| 0
23881 	| 0
12387 	| 0
19520 	| 9.83409e-007
23084 	| 1.47511e-005
23554 	| 0
19931 	| 0
23553 	| 0
22888 	| 0
12547 	| 0
25181 	| 0
12617 	| 0
17388 	| 1.96682e-006
6037 	| 0
3431 	| 0
164 	| 0
2142 	| 0.0081741
13283 	| 0
23858 	| 0
24601 	| 0
800 	| 0
13167 	| 0
15485 	| 0
20260 	| 0
4275 	| 0.0245105
4081 	| 0
13625 	| 0
17878 	| 0
24471 	| 0
18122 	| 0.0441307
1699 	| 0
2303 	| 0.00109994
7878 	| 0
8541 	| 0.022588
8593 	| 0
17575 	| 0
17683 	| 0
17923 	| 0.000229393
18771 	| 0.00168968
24593 	| 0
25875 	| 0
12645 	| 0
16803 	| 0
12749 	| 0
16819 	| 0
24034 	| 0.000125316
17861 	| 0
5415 	| 0
4380 	| 0
16756 	| 0
3100 	| 0
18098 	| 0
16729 	| 0
2049 	| 0
9915 	| 0
19380 	| 0
1695 	| 0
1825 	| 0
6226 	| 0
14317 	| 0
20775 	| 0
4469 	| 0
9618 	| 0
11285 	| 0
12193 	| 0
2306 	| 0.00932528
10514 	| 0
3964 	| 0
4018 	| 0
9414 	| 0
12640 	| 0
16608 	| 0
16800 	| 0
4051 	| 1.96682e-006
21187 	| 0
21313 	| 7.86727e-006
26092 	| 9.83409e-006
11879 	| 0
21310 	| 0
2803 	| 0
2295 	| 0
5826 	| 0
22 	| 0.0389045
11183 	| 0
19440 	| 0.0081741
22618 	| 0.00764669
25043 	| 0.0134657
3074 	| 0
23416 	| 0
1101 	| 0
9030 	| 0.0163443
17854 	| 0
22487 	| 0
25891 	| 0
1823 	| 0
2003 	| 0
22031 	| 0
885 	| 0
2505 	| 0
17192 	| 0
19911 	| 0
25487 	| 0
6229 	| 1.96682e-006
6423 	| 0
7647 	| 0
1966 	| 0
8048 	| 0
15717 	| 0
10847 	| 0
10148 	| 0
4875 	| 0.0652826
4488 	| 0.0104978
15913 	| 0
11009 	| 1.96682e-005
20157 	| 0
21344 	| 2.36018e-005
22990 	| 0
23471 	| 0
3206 	| 1.96682e-006
6535 	| 0
6579 	| 0
2386 	| 0
16941 	| 0
8446 	| 0.0163443
18597 	| 0
11502 	| 0.0134194
11903 	| 0
12157 	| 0
12158 	| 0
24210 	| 0.00344448
12290 	| 1.96682e-006
17307 	| 0
20031 	| 0
1860 	| 0
3073 	| 0
4000 	| 0
17173 	| 0
3685 	| 0
25853 	| 0
8404 	| 0
25 	| 0
22891 	| 0
28 	| 0
7916 	| 3.93364e-006
21515 	| 0
21523 	| 0
4656 	| 0
18196 	| 0
23303 	| 0
24841 	| 0.0571616
4265 	| 0
5267 	| 0
5271 	| 1.96682e-006
7597 	| 0
7638 	| 0
7648 	| 0
11844 	| 0.0571361
7854 	| 0
1668 	| 0
4835 	| 0
15007 	| 0
10559 	| 0
18245 	| 0
10445 	| 0.0081741
21594 	| 0
22738 	| 0.000206867
6389 	| 0
6914 	| 0
18279 	| 0
7468 	| 0
10002 	| 0
12041 	| 0
14384 	| 0
17341 	| 0
24470 	| 0
15186 	| 0
8443 	| 0
15248 	| 0
13683 	| 0
21203 	| 0.0081741
21778 	| 0
26042 	| 0
3451 	| 0
7038 	| 0
17951 	| 0
833 	| 0
2810 	| 0
18145 	| 0
21799 	| 0
